TIME,CH1
-7e-08,-0.00174
-6.8e-08,-0.00178
-6.600000000000001e-08,-0.0018399999999999998
-6.4e-08,-0.0019199999999999998
-6.2e-08,-0.0018199999999999998
-6.000000000000001e-08,-0.0019399999999999999
-5.8e-08,-0.0018199999999999998
-5.600000000000001e-08,-0.0019399999999999999
-5.400000000000001e-08,-0.00202
-5.2e-08,-0.0019399999999999999
-5e-08,-0.0017199999999999997
-4.800000000000001e-08,-0.00188
-4.6e-08,-0.0018399999999999998
-4.4e-08,-0.0018
-4.200000000000001e-08,-0.0018
-4e-08,-0.0018399999999999998
-3.8e-08,-0.0018199999999999998
-3.6e-08,-0.00198
-3.4e-08,-0.0018599999999999999
-3.2e-08,-0.0018
-3e-08,-0.0018999999999999998
-2.8e-08,-0.0018399999999999998
-2.6e-08,-0.00196
-2.4e-08,-0.0020399999999999997
-2.2e-08,-0.00162
-2e-08,-0.00188
-1.8e-08,-0.0018399999999999998
-1.6e-08,-0.00202
-1.4e-08,-0.0018199999999999998
-1.2e-08,-0.0018999999999999998
-9.999999999999997e-09,-0.0018599999999999999
-8.000000000000005e-09,-0.0019199999999999998
-6.000000000000001e-09,-0.002
-3.999999999999996e-09,-0.00178
-2.000000000000005e-09,-0.0017599999999999998
0.0,-0.00188
2.000000000000005e-09,-0.00272
3.999999999999996e-09,-0.00276
6.000000000000001e-09,-0.00208
8.000000000000005e-09,-0.00198
9.999999999999997e-09,-0.00226
1.2e-08,-0.0021
1.400000000000001e-08,-0.00214
1.6e-08,-0.0020599999999999998
1.8e-08,-0.00214
2.000000000000001e-08,-0.0020599999999999998
2.2e-08,-0.0021599999999999996
2.4e-08,-0.0021
2.600000000000001e-08,-0.0018199999999999998
2.8e-08,-0.00196
3e-08,-0.00202
3.2e-08,-0.0021999999999999997
3.4e-08,-0.0021799999999999996
3.6e-08,-0.0019399999999999999
3.8e-08,-0.002
4e-08,-0.0020399999999999997
4.200000000000001e-08,-0.00208
4.4e-08,-0.00188
4.6e-08,-0.00198
4.800000000000001e-08,-0.00202
5.000000000000001e-08,-0.0020399999999999997
5.2e-08,-0.00198
5.399999999999999e-08,-0.00198
5.600000000000001e-08,-0.0018199999999999998
5.8e-08,-0.00188
6e-08,-0.0021599999999999996
6.200000000000001e-08,-0.0017599999999999998
6.4e-08,-0.00188
6.6e-08,-0.00196
6.800000000000001e-08,-0.0020599999999999998
7e-08,-0.0024000000000000002
7.2e-08,-0.0024000000000000002
