Source,CH1,CH2,CH3,CH4
Second,Value,Value,Value,Value
-1.220000E-07,-3.599999E-04,-3.999993E-04,-1.000000E-02,-1.810000E+00
-1.200000E-07,-5.600001E-04,+3.999993E-04,-1.000000E-02,-1.810000E+00
-1.180000E-07,-4.000000E-04,-3.999993E-04,-1.000000E-02,-1.810000E+00
-1.160000E-07,-8.000000E-04,+3.999993E-04,-1.000000E-02,-1.810000E+00
-1.140000E-07,-2.400000E-04,-3.999993E-04,-1.000000E-02,-1.810000E+00
-1.120000E-07,-7.199999E-04,-3.999993E-04,-1.000000E-02,-1.810000E+00
-1.100000E-07,-3.599999E-04,-3.999993E-04,-1.000000E-02,-1.810000E+00
-1.080000E-07,-5.600001E-04,+3.999993E-04,-1.000000E-02,-1.810000E+00
-1.060000E-07,-5.600001E-04,-3.999993E-04,-1.000000E-02,-1.810000E+00
-1.040000E-07,-5.200000E-04,-3.999993E-04,-1.000000E-02,-1.810000E+00
-1.020000E-07,-3.599999E-04,+3.999993E-04,-1.000000E-02,-1.810000E+00
-1.000000E-07,-4.000000E-04,+3.999993E-04,-1.000000E-02,-1.810000E+00
-9.800000E-08,-6.800001E-04,+3.999993E-04,-1.000000E-02,-1.810000E+00
-9.600000E-08,-3.199999E-04,-3.999993E-04,-1.000000E-02,-1.830000E+00
-9.400000E-08,-7.600000E-04,-3.999993E-04,-1.000000E-02,-1.810000E+00
-9.200000E-08,-7.999991E-05,+3.999993E-04,-1.000000E-02,-1.810000E+00
-9.000000E-08,-6.800001E-04,+3.999993E-04,-1.000000E-02,-1.810000E+00
-8.800000E-08,-3.199999E-04,+3.999993E-04,-1.000000E-02,-1.810000E+00
-8.600000E-08,-7.199999E-04,+3.999993E-04,-1.000000E-02,-1.810000E+00
-8.400000E-08,-1.600001E-04,+3.999993E-04,-1.000000E-02,-1.790000E+00
-8.200000E-08,-6.800001E-04,+3.999993E-04,-1.000000E-02,-1.790000E+00
-8.000000E-08,-5.200000E-04,-3.999993E-04,-1.000000E-02,-1.790000E+00
-7.800000E-08,-5.200000E-04,+3.999993E-04,-1.000000E-02,-1.790000E+00
-7.600000E-08,-5.999999E-04,-3.999993E-04,-1.000000E-02,-1.810000E+00
-7.400000E-08,-3.599999E-04,+3.999993E-04,-1.000000E-02,-1.810000E+00
-7.200000E-08,-6.800001E-04,-3.999993E-04,-1.000000E-02,-1.830000E+00
-7.000000E-08,-1.999999E-04,+3.999993E-04,-1.000000E-02,-1.830000E+00
-6.800000E-08,-6.800001E-04,-3.999993E-04,-1.000000E-02,-1.850000E+00
-6.600000E-08,-2.800000E-04,-3.999993E-04,-1.000000E-02,-1.830000E+00
-6.400000E-08,-5.999999E-04,-3.999993E-04,-1.000000E-02,-1.830000E+00
-6.200000E-08,-5.200000E-04,+3.999993E-04,-1.000000E-02,-1.810000E+00
-6.000000E-08,-4.799999E-04,+3.999993E-04,-1.000000E-02,-1.790000E+00
-5.800000E-08,-6.800001E-04,-3.999993E-04,-1.000000E-02,-1.770000E+00
-5.600000E-08,-5.200000E-04,-3.999993E-04,-1.000000E-02,-1.750000E+00
-5.400000E-08,-3.599999E-04,-3.999993E-04,-1.000000E-02,-1.770000E+00
-5.200000E-08,-2.400000E-04,+3.999993E-04,-1.000000E-02,-1.770000E+00
-5.000000E-08,-9.600001E-04,+1.199998E-03,-1.000000E-02,-1.790000E+00
-4.800000E-08,-3.199999E-04,+3.999993E-04,-1.000000E-02,-1.830000E+00
-4.600000E-08,-6.800001E-04,+3.999993E-04,-1.000000E-02,-1.850000E+00
-4.400000E-08,-2.800000E-04,+3.999993E-04,-1.000000E-02,-1.870000E+00
-4.200000E-08,-6.400000E-04,+3.999993E-04,-1.000000E-02,-1.870000E+00
-4.000000E-08,-1.999999E-04,+3.999993E-04,-1.000000E-02,-1.870000E+00
-3.800000E-08,-7.600000E-04,-3.999993E-04,-1.000000E-02,-1.850000E+00
-3.600000E-08,-2.400000E-04,-3.999993E-04,-1.000000E-02,-1.830000E+00
-3.400000E-08,-4.799999E-04,+3.999993E-04,-1.000000E-02,-1.770000E+00
-3.200000E-08,-7.199999E-04,-3.999993E-04,-1.000000E-02,-1.730000E+00
-3.000000E-08,-5.600001E-04,+3.999993E-04,-1.000000E-02,-1.690000E+00
-2.800000E-08,-5.600001E-04,+1.199998E-03,-1.000000E-02,-1.690000E+00
-2.600000E-08,-4.400001E-04,+3.999993E-04,-1.000000E-02,-1.730000E+00
-2.400000E-08,-5.999999E-04,-3.999993E-04,-1.000000E-02,-1.730000E+00
-2.200000E-08,-1.600001E-04,+1.199998E-03,-1.000000E-02,-1.810000E+00
-2.000000E-08,-5.999999E-04,+3.999993E-04,-1.000000E-02,-1.890000E+00
-1.800000E-08,-1.999999E-04,+3.999993E-04,-1.000000E-02,-1.970000E+00
-1.600000E-08,-6.400000E-04,+1.199998E-03,-1.000000E-02,-2.030000E+00
-1.400000E-08,-4.400001E-04,-3.999993E-04,-1.000000E-02,-2.010000E+00
-1.200000E-08,-4.000000E-04,-3.999993E-04,-1.000000E-02,-1.950000E+00
-1.000000E-08,-7.199999E-04,+3.999993E-04,-1.000000E-02,-1.870000E+00
-8.000000E-09,-5.200000E-04,-3.999993E-04,-1.000000E-02,-1.650000E+00
-6.000000E-09,-5.999999E-04,+3.999993E-04,-1.000000E-02,-1.290000E+00
-4.000000E-09,-5.600001E-04,+3.999993E-04,-1.000000E-02,-9.700000E-01
-2.000000E-09,-1.040000E-03,-3.999993E-04,-1.000000E-02,-6.100000E-01
+5.293956E-23,-5.999999E-04,+3.999993E-04,-1.000000E-02,-1.900000E-01
+2.000000E-09,-6.400000E-04,+1.199998E-03,-1.000000E-02,+1.900000E-01
+4.000000E-09,-4.799999E-04,+1.199998E-03,-1.000000E-02,+5.100001E-01
+6.000000E-09,-7.199999E-04,-3.999993E-04,-1.000000E-02,+7.499999E-01
+8.000000E-09,-3.199999E-04,+3.999993E-04,-1.000000E-02,+9.700000E-01
+1.000000E-08,-5.600001E-04,+1.199998E-03,-1.000000E-02,+1.130000E+00
+1.200000E-08,+7.999991E-05,-3.999993E-04,-1.000000E-02,+1.270000E+00
+1.400000E-08,-3.199999E-04,+3.999993E-04,-1.000000E-02,+1.350000E+00
+1.600000E-08,-4.799999E-04,+1.199998E-03,-1.000000E-02,+1.410000E+00
