x,y,z,Channel 2,Channel 3,Channel 4
27.5,0.0,0.0,173,706,1303
27.5,0.0,-65.0,151,931,1264
27.5,0.0,-130.0,177,937,1338
27.5,-65.0,0.0,142,710,870
27.5,-65.0,-65.0,149,697,824
27.5,-65.0,-130.0,187,965,1071
27.5,-130.0,0.0,134,545,588
27.5,-130.0,-65.0,121,537,675
27.5,-130.0,-130.0,168,768,693
27.5,-195.0,0.0,85,321,374
27.5,-195.0,-65.0,116,510,474
27.5,-195.0,-130.0,106,482,420
27.5,-260.0,0.0,75,312,329
27.5,-260.0,-65.0,109,372,313
27.5,-260.0,-130.0,139,338,368
92.5,0.0,0.0,1664,860,1110
92.5,0.0,-65.0,269,952,1169
92.5,0.0,-130.0,1648,1497,1484
92.5,-65.0,0.0,1679,695,834
92.5,-65.0,-65.0,1669,867,1098
92.5,-65.0,-130.0,1679,1189,1072
92.5,-130.0,0.0,449,604,675
92.5,-130.0,-65.0,804,1022,958
92.5,-130.0,-130.0,826,911,766
92.5,-195.0,0.0,802,878,718
92.5,-195.0,-65.0,1206,947,563
92.5,-195.0,-130.0,800,874,667
92.5,-260.0,0.0,1242,1005,502
