x,y,z,Channel 2,Channel 3,Channel 4
27.5,0.0,0.0,239,371,188
27.5,0.0,-65.0,299,547,492
27.5,0.0,-130.0,367,736,555
27.5,-65.0,0.0,293,460,10
27.5,-65.0,-65.0,362,609,133
27.5,-65.0,-130.0,477,683,156
27.5,-130.0,0.0,240,465,341
27.5,-130.0,-65.0,375,593,1080
27.5,-130.0,-130.0,509,641,1410
27.5,-195.0,0.0,217,455,1171
27.5,-195.0,-65.0,259,519,1159
27.5,-195.0,-130.0,328,581,1018
27.5,-260.0,0.0,244,458,927
27.5,-260.0,-65.0,327,499,526
27.5,-260.0,-130.0,400,570,400
92.5,0.0,0.0,923,655,979
92.5,0.0,-65.0,881,680,776
92.5,0.0,-130.0,988,785,633
92.5,-65.0,0.0,690,526,407
92.5,-65.0,-65.0,788,640,419
92.5,-65.0,-130.0,868,670,491
92.5,-130.0,0.0,699,544,545
92.5,-130.0,-65.0,815,615,532
92.5,-130.0,-130.0,808,643,309
92.5,-195.0,0.0,744,570,184
92.5,-195.0,-65.0,834,645,211
92.5,-195.0,-130.0,868,728,349
92.5,-260.0,0.0,738,597,383
92.5,-260.0,-65.0,792,673,296
92.5,-260.0,-130.0,845,704,206
157.5,0.0,0.0,1102,758,1023
157.5,0.0,-65.0,1124,868,1125
157.5,0.0,-130.0,1247,969,1081
157.5,-65.0,0.0,784,622,867
157.5,-65.0,-65.0,901,752,854
157.5,-65.0,-130.0,992,783,856
157.5,-130.0,0.0,749,654,876
157.5,-130.0,-65.0,765,671,835
157.5,-130.0,-130.0,892,750,861
157.5,-195.0,0.0,742,639,737
157.5,-195.0,-65.0,803,656,789
157.5,-195.0,-130.0,924,735,746
157.5,-260.0,0.0,784,603,769
157.5,-260.0,-65.0,922,643,742
157.5,-260.0,-130.0,858,694,767
222.5,0.0,0.0,1139,828,963
222.5,0.0,-65.0,1120,931,1066
222.5,0.0,-130.0,1096,1005,1016
222.5,-65.0,0.0,367,903,823
222.5,-65.0,-65.0,460,1097,852
222.5,-65.0,-130.0,692,1365,804
222.5,-130.0,0.0,906,1236,719
222.5,-130.0,-65.0,988,1404,710
222.5,-130.0,-130.0,962,1395,718
222.5,-195.0,0.0,68,1528,700
222.5,-195.0,-65.0,80,1600,715
222.5,-195.0,-130.0,89,1713,699
222.5,-260.0,0.0,1456,1635,641
222.5,-260.0,-65.0,1326,1634,646
222.5,-260.0,-130.0,1487,1707,620
287.5,0.0,0.0,20,1832,628
287.5,0.0,-65.0,215,1845,632
287.5,0.0,-130.0,39,1820,681
287.5,-65.0,0.0,910,1713,516
287.5,-65.0,-65.0,894,1735,455
287.5,-65.0,-130.0,431,1673,498
287.5,-130.0,0.0,1400,1390,406
287.5,-130.0,-65.0,1455,1422,433
287.5,-130.0,-130.0,1494,1545,416
287.5,-195.0,0.0,1319,1467,377
287.5,-195.0,-65.0,1294,1561,408
287.5,-195.0,-130.0,1371,1507,362
287.5,-260.0,0.0,1298,1563,309
287.5,-260.0,-65.0,1342,1384,325
287.5,-260.0,-130.0,1470,1489,307
352.5,0.0,0.0,777,1289,325
352.5,0.0,-65.0,664,1137,348
352.5,0.0,-130.0,613,1453,637
352.5,-65.0,0.0,1461,1608,428
352.5,-65.0,-65.0,1340,1331,415
352.5,-65.0,-130.0,1466,1493,442
352.5,-130.0,0.0,1712,1586,364
352.5,-130.0,-65.0,1847,1707,376
352.5,-130.0,-130.0,1700,1294,222
352.5,-195.0,0.0,1001,945,126
352.5,-195.0,-65.0,1032,772,75
352.5,-195.0,-130.0,850,687,62
352.5,-260.0,0.0,741,622,26
352.5,-260.0,-65.0,926,629,27
352.5,-260.0,-130.0,1037,702,39
