x,y,z,Channel 2,Channel 3,Channel 4
27.5,0.0,0.0,1610,783,379
27.5,0.0,-65.0,1703,919,442
27.5,0.0,-130.0,1738,1057,480
27.5,-65.0,0.0,1418,734,431
27.5,-65.0,-65.0,1497,789,428
27.5,-65.0,-130.0,1516,923,479
27.5,-130.0,0.0,1188,657,323
27.5,-130.0,-65.0,1274,701,349
27.5,-130.0,-130.0,1295,785,442
27.5,-195.0,0.0,1072,590,447
27.5,-195.0,-65.0,1089,667,466
27.5,-195.0,-130.0,1131,680,503
27.5,-260.0,0.0,1000,542,291
27.5,-260.0,-65.0,1018,618,318
27.5,-260.0,-130.0,1036,587,330
92.5,0.0,0.0,1627,853,367
92.5,0.0,-65.0,1790,1049,471
92.5,0.0,-130.0,1812,1308,563
92.5,-65.0,0.0,1410,755,441
92.5,-65.0,-65.0,1488,879,427
92.5,-65.0,-130.0,1553,1018,574
92.5,-130.0,0.0,1238,610,406
92.5,-130.0,-65.0,1290,701,484
92.5,-130.0,-130.0,1315,802,447
92.5,-195.0,0.0,1093,566,436
92.5,-195.0,-65.0,1141,581,403
92.5,-195.0,-130.0,1162,635,574
92.5,-260.0,0.0,979,418,353
92.5,-260.0,-65.0,1003,498,403
92.5,-260.0,-130.0,986,515,338
157.5,0.0,0.0,1573,828,393
157.5,0.0,-65.0,1713,1164,496
157.5,0.0,-130.0,1761,1554,652
157.5,-65.0,0.0,1374,751,524
157.5,-65.0,-65.0,1461,913,579
157.5,-65.0,-130.0,1510,1141,766
157.5,-130.0,0.0,1200,631,419
157.5,-130.0,-65.0,1269,753,498
157.5,-130.0,-130.0,1276,844,560
157.5,-195.0,0.0,1111,550,476
157.5,-195.0,-65.0,1084,629,509
157.5,-195.0,-130.0,1129,622,568
157.5,-260.0,0.0,989,477,381
157.5,-260.0,-65.0,954,525,329
157.5,-260.0,-130.0,989,538,373
222.5,0.0,0.0,1451,860,380
222.5,0.0,-65.0,1567,1113,545
222.5,0.0,-130.0,1616,1547,757
222.5,-65.0,0.0,1292,727,487
222.5,-65.0,-65.0,1401,951,632
222.5,-65.0,-130.0,1411,1117,795
222.5,-130.0,0.0,1152,632,488
222.5,-130.0,-65.0,1199,744,543
222.5,-130.0,-130.0,1233,813,628
222.5,-195.0,0.0,1020,540,458
222.5,-195.0,-65.0,1058,605,457
222.5,-195.0,-130.0,1078,676,527
222.5,-260.0,0.0,967,476,494
222.5,-260.0,-65.0,978,483,610
222.5,-260.0,-130.0,970,571,636
287.5,0.0,0.0,1329,809,410
287.5,0.0,-65.0,1387,1025,500
287.5,0.0,-130.0,1435,1303,789
287.5,-65.0,0.0,1244,706,603
287.5,-65.0,-65.0,1294,831,685
287.5,-65.0,-130.0,1301,1002,860
287.5,-130.0,0.0,1092,620,516
287.5,-130.0,-65.0,1165,676,595
287.5,-130.0,-130.0,1156,774,725
287.5,-195.0,0.0,1034,519,428
287.5,-195.0,-65.0,1043,574,434
287.5,-195.0,-130.0,1036,613,566
287.5,-260.0,0.0,933,459,366
287.5,-260.0,-65.0,983,476,373
287.5,-260.0,-130.0,952,537,387
352.5,0.0,0.0,1175,690,463
352.5,0.0,-65.0,1237,850,590
352.5,0.0,-130.0,1272,989,764
352.5,-65.0,0.0,1112,677,532
352.5,-65.0,-65.0,1190,743,654
352.5,-65.0,-130.0,1169,837,771
352.5,-130.0,0.0,1065,577,604
352.5,-130.0,-65.0,1067,667,620
352.5,-130.0,-130.0,1081,718,718
352.5,-195.0,0.0,1152,538,429
352.5,-195.0,-65.0,987,614,453
352.5,-195.0,-130.0,983,623,534
352.5,-260.0,0.0,931,526,337
352.5,-260.0,-65.0,924,541,352
352.5,-260.0,-130.0,925,538,439
