x,y,z,Channel 2,Channel 3,Channel 4
92.5,-260.0,0.0,1114,1264,1384
92.5,-260.0,-65.0,1202,1412,1473
92.5,-260.0,-130.0,1073,1281,1263
157.5,0.0,0.0,1802,1801,2012
157.5,0.0,-65.0,1374,2021,1948
157.5,0.0,-130.0,1605,2121,1854
157.5,-65.0,0.0,1755,1621,1690
157.5,-65.0,-65.0,1414,1641,1502
157.5,-65.0,-130.0,1417,1907,1790
157.5,-130.0,0.0,837,1336,1198
157.5,-130.0,-65.0,917,1555,1571
157.5,-130.0,-130.0,990,1631,1395
157.5,-195.0,0.0,505,1078,1244
157.5,-195.0,-65.0,781,1314,1109
157.5,-195.0,-130.0,631,1201,1004
157.5,-260.0,0.0,497,1061,955
157.5,-260.0,-65.0,575,1028,857
157.5,-260.0,-130.0,455,1079,994
222.5,0.0,0.0,1767,1631,1624
222.5,0.0,-65.0,773,1758,1841
222.5,0.0,-130.0,1762,2099,1860
222.5,-65.0,0.0,1736,1338,1303
222.5,-65.0,-65.0,1020,1674,1525
222.5,-65.0,-130.0,1645,1786,1280
222.5,-130.0,0.0,521,1299,1524
222.5,-130.0,-65.0,785,1459,1412
222.5,-130.0,-130.0,650,1409,1507
222.5,-195.0,0.0,706,1230,1055
222.5,-195.0,-65.0,679,1149,953
222.5,-195.0,-130.0,627,1315,1086
222.5,-260.0,0.0,722,1012,862
222.5,-260.0,-65.0,532,948,878
222.5,-260.0,-130.0,1047,1320,946
287.5,0.0,0.0,1870,1588,1284
287.5,0.0,-65.0,1913,1936,1677
287.5,0.0,-130.0,2057,2052,1499
287.5,-65.0,0.0,1982,1829,1323
287.5,-65.0,-65.0,2050,1976,1259
287.5,-65.0,-130.0,2062,1931,1418
287.5,-130.0,0.0,2084,2069,1638
287.5,-130.0,-65.0,2041,1951,1419
287.5,-130.0,-130.0,2013,2105,1827
287.5,-195.0,0.0,2230,2151,1478
287.5,-195.0,-65.0,2084,2120,1672
287.5,-195.0,-130.0,2294,2273,1831
287.5,-260.0,0.0,2316,2237,1645
287.5,-260.0,-65.0,2262,2259,1843
287.5,-260.0,-130.0,2357,2347,1916
352.5,0.0,0.0,2357,2351,677
352.5,0.0,-65.0,2344,2332,792
352.5,0.0,-130.0,2230,2287,947
352.5,-65.0,0.0,2185,2202,1409
352.5,-65.0,-65.0,2165,2191,1364
352.5,-65.0,-130.0,2087,2163,1333
352.5,-130.0,0.0,2022,2126,1679
352.5,-130.0,-65.0,2079,2135,1532
352.5,-130.0,-130.0,2031,2100,1483
352.5,-195.0,0.0,1859,1972,1243
352.5,-195.0,-65.0,1679,1914,1166
352.5,-195.0,-130.0,1688,1827,1206
352.5,-260.0,0.0,1789,1894,1174
352.5,-260.0,-65.0,1761,1964,1559
352.5,-260.0,-130.0,2191,2196,1543
